lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.6,994169,Comedy,poison,0,hr,0.5548013245033112
0.6,838617,Action,strike,155552,hr,0.5786423841059603
0.6,994169,Action,poison,0,hr,0.5657284768211921
0.6,793949,Drama,strike,200220,hr,0.5885761589403974
0.6,994169,Drama,poison,0,hr,0.5596026490066225
0.65,354990,All,strike,639179,hr,0.520364238410596
0.65,994169,All,poison,0,hr,0.33658940397350995
0.65,763789,Comedy,strike,230380,hr,0.5529801324503312
0.65,994169,Comedy,poison,0,hr,0.5428807947019868
0.65,819149,Action,strike,175020,hr,0.5640728476821192
0.65,994169,Action,poison,0,hr,0.5672185430463577
0.65,765449,Drama,strike,228720,hr,0.5650662251655629
0.65,994169,Drama,poison,0,hr,0.5481788079470199
0.7,298823,All,strike,695346,hr,0.508112582781457
0.7,994169,All,poison,0,hr,0.32235099337748346
0.7,756361,Comedy,strike,237808,hr,0.552317880794702
0.7,994169,Comedy,poison,0,hr,0.5415562913907285
0.7,812977,Action,strike,181192,hr,0.5480132450331126
0.7,994169,Action,poison,0,hr,0.5569536423841059
0.7,741815,Drama,strike,252354,hr,0.5501655629139073
0.7,994169,Drama,poison,0,hr,0.547682119205298
0.75,248507,All,strike,745662,hr,0.49784768211920527
0.75,994169,All,poison,0,hr,0.27764900662251657
0.75,738095,Comedy,strike,256074,hr,0.5493377483443709
0.75,994169,Comedy,poison,0,hr,0.5329470198675497
0.75,802474,Action,strike,191695,hr,0.5617549668874172
0.75,994169,Action,poison,0,hr,0.5435430463576159
0.75,723153,Drama,strike,271016,hr,0.5374172185430464
0.75,994169,Drama,poison,0,hr,0.5324503311258278
0.8,196272,All,strike,797897,hr,0.49304635761589405
0.8,994169,All,poison,0,hr,0.25645695364238413
0.8,708317,Comedy,strike,285852,hr,0.5299668874172185
0.8,994169,Comedy,poison,0,hr,0.5245033112582781
0.8,790617,Action,strike,203552,hr,0.5336092715231788
0.8,994169,Action,poison,0,hr,0.5298013245033113
0.8,721809,Drama,strike,272360,hr,0.5405629139072847
0.8,994169,Drama,poison,0,hr,0.5316225165562913
0.85,148450,All,strike,845719,hr,0.4783112582781457
0.85,994169,All,poison,0,hr,0.23311258278145697
0.85,685499,Comedy,strike,308670,hr,0.5160596026490066
0.85,994169,Comedy,poison,0,hr,0.5190397350993378
0.85,777002,Action,strike,217167,hr,0.535430463576159
0.85,994169,Action,poison,0,hr,0.5245033112582781
0.85,694805,Drama,strike,299364,hr,0.5278145695364238
0.85,994169,Drama,poison,0,hr,0.5182119205298014
0.9,99127,All,strike,895042,hr,0.46622516556291393
0.9,994169,All,poison,0,hr,0.20645695364238412
0.9,673086,Comedy,strike,321083,hr,0.5054635761589404
0.9,994169,Comedy,poison,0,hr,0.5086092715231788
0.9,761471,Action,strike,232698,hr,0.5216887417218543
0.9,994169,Action,poison,0,hr,0.5137417218543047
0.9,669318,Drama,strike,324851,hr,0.5110927152317881
0.9,994169,Drama,poison,0,hr,0.5135761589403973
0.0,994169,All,strike,0,🤜,0.8
0.0,994169,All,poison,0,🤜,0.79
0.0,994169,Comedy,strike,0,🤜,0.8
0.0,994169,Comedy,poison,0,🤜,0.79
0.0,994169,Action,strike,0,🤜,0.8
0.0,994169,Action,poison,0,🤜,0.8
0.0,994169,Drama,strike,0,🤜,0.8
0.0,994169,Drama,poison,0,🤜,0.79
0.05,948147,All,strike,46022,🤜,0.77
0.05,994169,All,poison,0,🤜,0.77
0.05,979145,Comedy,strike,15024,🤜,0.79
0.05,994169,Comedy,poison,0,🤜,0.8
0.05,981560,Action,strike,12609,🤜,0.75
0.05,994169,Action,poison,0,🤜,0.75
0.05,977844,Drama,strike,16325,🤜,0.78
0.05,994169,Drama,poison,0,🤜,0.78
0.1,892599,All,strike,101570,🤜,0.76
0.1,994169,All,poison,0,🤜,0.72
0.1,957482,Comedy,strike,36687,🤜,0.79
0.1,994169,Comedy,poison,0,🤜,0.78
0.1,966588,Action,strike,27581,🤜,0.72
0.1,994169,Action,poison,0,🤜,0.71
0.1,963064,Drama,strike,31105,🤜,0.79
0.1,994169,Drama,poison,0,🤜,0.77
0.15,846070,All,strike,148099,🤜,0.76
0.15,994169,All,poison,0,🤜,0.69
0.15,941730,Comedy,strike,52439,🤜,0.8
0.15,994169,Comedy,poison,0,🤜,0.79
0.15,949005,Action,strike,45164,🤜,0.61
0.15,994169,Action,poison,0,🤜,0.69
0.15,948700,Drama,strike,45469,🤜,0.78
0.15,994169,Drama,poison,0,🤜,0.78
0.2,787232,All,strike,206937,🤜,0.75
0.2,994169,All,poison,0,🤜,0.68
0.2,912061,Comedy,strike,82108,🤜,0.78
0.2,994169,Comedy,poison,0,🤜,0.78
0.2,950324,Action,strike,43845,🤜,0.68
0.2,994169,Action,poison,0,🤜,0.64
0.2,922909,Drama,strike,71260,🤜,0.76
0.2,994169,Drama,poison,0,🤜,0.76
0.25,752055,All,strike,242114,🤜,0.73
0.25,994169,All,poison,0,🤜,0.66
0.25,902167,Comedy,strike,92002,🤜,0.79
0.25,994169,Comedy,poison,0,🤜,0.79
0.25,934456,Action,strike,59713,🤜,0.6
0.25,994169,Action,poison,0,🤜,0.58
0.25,910517,Drama,strike,83652,🤜,0.77
0.25,994169,Drama,poison,0,🤜,0.77
0.3,700981,All,strike,293188,🤜,0.74
0.3,994169,All,poison,0,🤜,0.62
0.3,893825,Comedy,strike,100344,🤜,0.78
0.3,994169,Comedy,poison,0,🤜,0.78
0.3,912351,Action,strike,81818,🤜,0.59
0.3,994169,Action,poison,0,🤜,0.59
0.3,892766,Drama,strike,101403,🤜,0.79
0.3,994169,Drama,poison,0,🤜,0.79
0.35,657147,All,strike,337022,🤜,0.72
0.35,994169,All,poison,0,🤜,0.56
0.35,873289,Comedy,strike,120880,🤜,0.77
0.35,994169,Comedy,poison,0,🤜,0.77
0.35,900924,Action,strike,93245,🤜,0.54
0.35,994169,Action,poison,0,🤜,0.5
0.35,864532,Drama,strike,129637,🤜,0.75
0.35,994169,Drama,poison,0,🤜,0.76
0.4,585316,All,strike,408853,🤜,0.7
0.4,994169,All,poison,0,🤜,0.54
0.4,860159,Comedy,strike,134010,🤜,0.77
0.4,994169,Comedy,poison,0,🤜,0.78
0.4,892070,Action,strike,102099,🤜,0.49
0.4,994169,Action,poison,0,🤜,0.48
0.4,848620,Drama,strike,145549,🤜,0.76
0.4,994169,Drama,poison,0,🤜,0.77
0.45,540535,All,strike,453634,🤜,0.69
0.45,994169,All,poison,0,🤜,0.54
