lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.05,952034,All,strike,12320,hr,0.5883164535447556
0.05,964354,Comedy,strike,0,hr,0.5810679757250977
0.05,963376,Action,strike,978,hr,0.5860669259455514
0.1,898451,All,strike,65903,hr,0.5921956389158277
0.1,936781,Comedy,strike,27573,hr,0.5709600983793404
0.1,927871,Action,strike,36483,hr,0.5651613161236141
0.15,847020,All,strike,117334,hr,0.5710800731846313
0.15,901354,Comedy,strike,63000,hr,0.5586126913348197
0.15,886513,Action,strike,77841,hr,0.5502044570640165
0.2,798382,All,strike,165972,hr,0.5562231931294428
0.2,869022,Comedy,strike,95332,hr,0.5453354795492946
0.2,854024,Action,strike,110330,hr,0.5361973985463053
0.25,746080,All,strike,218274,hr,0.5495945851371212
0.25,842082,Comedy,strike,122272,hr,0.5256896051829116
0.25,809188,Action,strike,155166,hr,0.5081032983073555
0.3,693577,All,strike,270777,hr,0.5411063676627909
0.3,809488,Comedy,strike,154866,hr,0.5166415052838904
0.3,770409,Action,strike,193945,hr,0.5080633067055919
0.35,643580,All,strike,320774,hr,0.5374671319023006
0.35,777493,Comedy,strike,186861,hr,0.4945161516081623
0.35,741383,Action,strike,222971,hr,0.4702812409394027
0.4,600640,All,strike,363714,hr,0.5289789144279702
0.4,748343,Comedy,strike,216011,hr,0.47909938912828304
0.4,699157,Action,strike,265197,hr,0.46062326911348617
0.45,545378,All,strike,418976,hr,0.5082432689135281
0.45,703206,Comedy,strike,261148,hr,0.46468241669249455
0.45,665509,Action,strike,298845,hr,0.440987392647544
0.5,518853,All,strike,445501,hr,0.5096029833734915
0.5,675659,Comedy,strike,288695,hr,0.4710910708751162
0.5,633642,Action,strike,330712,hr,0.4300396916647504
0.55,458261,All,strike,506093,hr,0.5005148918727067
0.55,649473,Comedy,strike,314881,hr,0.4480859019605883
0.55,589864,Action,strike,374490,hr,0.3888283460473301
0.6,409176,All,strike,555178,hr,0.4915567730776537
0.6,612532,Comedy,strike,351822,hr,0.42670039291748735
0.6,557646,Action,strike,406708,hr,0.3852291018886034
0.65,346648,All,strike,617706,hr,0.4884074344387679
0.65,585113,Comedy,strike,379241,hr,0.4062546865158317
0.65,511243,Action,strike,453111,hr,0.362593855290389
0.7,303510,All,strike,660844,hr,0.46883154537547117
0.7,547736,Comedy,strike,416618,hr,0.40258545705401866
0.7,478839,Action,strike,485515,hr,0.36079423321102566
0.75,254997,All,strike,709357,hr,0.4656922046370262
0.75,516041,Comedy,strike,448313,hr,0.37799062196938643
0.75,447900,Action,strike,516454,hr,0.33464972355805284
0.8,195505,All,strike,768849,hr,0.44968556603113347
0.8,491394,Comedy,strike,472960,hr,0.368102698433329
0.8,407599,Action,strike,556755,hr,0.2984973155637316
0.85,149929,All,strike,814425,hr,0.4408274262404895
0.85,459398,Comedy,strike,504956,hr,0.35927455234400774
0.85,365868,Action,strike,598486,hr,0.28007118505113926
0.9,103344,All,strike,861010,hr,0.43643834794693115
0.9,413340,Comedy,strike,551014,hr,0.3312204437068216
0.9,330217,Action,strike,634137,hr,0.26235490546985135
0.95,53434,All,strike,910920,hr,0.42960978194579136
0.95,388837,Comedy,strike,575517,hr,0.32226232491176854
0.95,296019,Action,strike,668335,hr,0.238419931814319
0.05,952034,All,strike,12320,hr_Action,0.71
0.05,964354,Comedy,strike,0,hr_Action,0.69
0.05,963376,Action,strike,978,hr_Action,0.73
0.1,898451,All,strike,65903,hr_Action,0.71
0.1,936781,Comedy,strike,27573,hr_Action,0.66
0.1,927871,Action,strike,36483,hr_Action,0.76
0.15,847020,All,strike,117334,hr_Action,0.68
0.15,901354,Comedy,strike,63000,hr_Action,0.64
0.15,886513,Action,strike,77841,hr_Action,0.76
0.2,798382,All,strike,165972,hr_Action,0.69
0.2,869022,Comedy,strike,95332,hr_Action,0.61
0.2,854024,Action,strike,110330,hr_Action,0.78
0.25,746080,All,strike,218274,hr_Action,0.68
0.25,842082,Comedy,strike,122272,hr_Action,0.58
0.25,809188,Action,strike,155166,hr_Action,0.79
0.3,693577,All,strike,270777,hr_Action,0.67
0.3,809488,Comedy,strike,154866,hr_Action,0.54
0.3,770409,Action,strike,193945,hr_Action,0.79
0.35,643580,All,strike,320774,hr_Action,0.68
0.35,777493,Comedy,strike,186861,hr_Action,0.5
0.35,741383,Action,strike,222971,hr_Action,0.79
0.4,600640,All,strike,363714,hr_Action,0.67
0.4,748343,Comedy,strike,216011,hr_Action,0.47
0.4,699157,Action,strike,265197,hr_Action,0.83
0.45,545378,All,strike,418976,hr_Action,0.64
0.45,703206,Comedy,strike,261148,hr_Action,0.44
0.45,665509,Action,strike,298845,hr_Action,0.83
0.5,518853,All,strike,445501,hr_Action,0.63
0.5,675659,Comedy,strike,288695,hr_Action,0.46
0.5,633642,Action,strike,330712,hr_Action,0.84
0.55,458261,All,strike,506093,hr_Action,0.65
0.55,649473,Comedy,strike,314881,hr_Action,0.39
0.55,589864,Action,strike,374490,hr_Action,0.88
0.6,409176,All,strike,555178,hr_Action,0.63
0.6,612532,Comedy,strike,351822,hr_Action,0.36
0.6,557646,Action,strike,406708,hr_Action,0.89
0.65,346648,All,strike,617706,hr_Action,0.64
0.65,585113,Comedy,strike,379241,hr_Action,0.31
0.65,511243,Action,strike,453111,hr_Action,0.88
0.7,303510,All,strike,660844,hr_Action,0.62
0.7,547736,Comedy,strike,416618,hr_Action,0.3
0.7,478839,Action,strike,485515,hr_Action,0.88
0.75,254997,All,strike,709357,hr_Action,0.63
0.75,516041,Comedy,strike,448313,hr_Action,0.25
0.75,447900,Action,strike,516454,hr_Action,0.9
0.8,195505,All,strike,768849,hr_Action,0.6
0.8,491394,Comedy,strike,472960,hr_Action,0.23
0.8,407599,Action,strike,556755,hr_Action,0.94
0.85,149929,All,strike,814425,hr_Action,0.6
0.85,459398,Comedy,strike,504956,hr_Action,0.22
0.85,365868,Action,strike,598486,hr_Action,0.94
0.9,103344,All,strike,861010,hr_Action,0.61
0.9,413340,Comedy,strike,551014,hr_Action,0.15
0.9,330217,Action,strike,634137,hr_Action,0.95
0.95,53434,All,strike,910920,hr_Action,0.6
0.95,388837,Comedy,strike,575517,hr_Action,0.13
0.95,296019,Action,strike,668335,hr_Action,0.96
0.05,952034,All,strike,12320,hr_Comedy,0.61
0.05,964354,Comedy,strike,0,hr_Comedy,0.63
0.05,963376,Action,strike,978,hr_Comedy,0.6
0.1,898451,All,strike,65903,hr_Comedy,0.61
0.1,936781,Comedy,strike,27573,hr_Comedy,0.63
0.1,927871,Action,strike,36483,hr_Comedy,0.57
0.15,847020,All,strike,117334,hr_Comedy,0.59
0.15,901354,Comedy,strike,63000,hr_Comedy,0.65
0.15,886513,Action,strike,77841,hr_Comedy,0.55
0.2,798382,All,strike,165972,hr_Comedy,0.58
0.2,869022,Comedy,strike,95332,hr_Comedy,0.67
0.2,854024,Action,strike,110330,hr_Comedy,0.53
0.25,746080,All,strike,218274,hr_Comedy,0.57
0.25,842082,Comedy,strike,122272,hr_Comedy,0.68
0.25,809188,Action,strike,155166,hr_Comedy,0.49
0.3,693577,All,strike,270777,hr_Comedy,0.56
0.3,809488,Comedy,strike,154866,hr_Comedy,0.71
0.3,770409,Action,strike,193945,hr_Comedy,0.49
0.35,643580,All,strike,320774,hr_Comedy,0.56
0.35,777493,Comedy,strike,186861,hr_Comedy,0.71
0.35,741383,Action,strike,222971,hr_Comedy,0.44
0.4,600640,All,strike,363714,hr_Comedy,0.55
0.4,748343,Comedy,strike,216011,hr_Comedy,0.72
0.4,699157,Action,strike,265197,hr_Comedy,0.42
0.45,545378,All,strike,418976,hr_Comedy,0.54
0.45,703206,Comedy,strike,261148,hr_Comedy,0.72
0.45,665509,Action,strike,298845,hr_Comedy,0.39
0.5,518853,All,strike,445501,hr_Comedy,0.54
0.5,675659,Comedy,strike,288695,hr_Comedy,0.74
0.5,633642,Action,strike,330712,hr_Comedy,0.38
0.55,458261,All,strike,506093,hr_Comedy,0.52
0.55,649473,Comedy,strike,314881,hr_Comedy,0.75
0.55,589864,Action,strike,374490,hr_Comedy,0.32
0.6,409176,All,strike,555178,hr_Comedy,0.51
0.6,612532,Comedy,strike,351822,hr_Comedy,0.76
0.6,557646,Action,strike,406708,hr_Comedy,0.32
0.65,346648,All,strike,617706,hr_Comedy,0.51
0.65,585113,Comedy,strike,379241,hr_Comedy,0.78
0.65,511243,Action,strike,453111,hr_Comedy,0.28
0.7,303510,All,strike,660844,hr_Comedy,0.49
0.7,547736,Comedy,strike,416618,hr_Comedy,0.8
0.7,478839,Action,strike,485515,hr_Comedy,0.29
0.75,254997,All,strike,709357,hr_Comedy,0.48
0.75,516041,Comedy,strike,448313,hr_Comedy,0.8
0.75,447900,Action,strike,516454,hr_Comedy,0.25
0.8,195505,All,strike,768849,hr_Comedy,0.48
0.8,491394,Comedy,strike,472960,hr_Comedy,0.82
0.8,407599,Action,strike,556755,hr_Comedy,0.2
0.85,149929,All,strike,814425,hr_Comedy,0.46
0.85,459398,Comedy,strike,504956,hr_Comedy,0.81
0.85,365868,Action,strike,598486,hr_Comedy,0.17
0.9,103344,All,strike,861010,hr_Comedy,0.46
0.9,413340,Comedy,strike,551014,hr_Comedy,0.84
0.9,330217,Action,strike,634137,hr_Comedy,0.15
0.95,53434,All,strike,910920,hr_Comedy,0.46
0.95,388837,Comedy,strike,575517,hr_Comedy,0.84
0.95,296019,Action,strike,668335,hr_Comedy,0.12
0.05,952034,All,strike,12320,hr_Drama,0.56
